feature,importance
gas_pct,0.25043688276533266
hydro_pct,0.17021259477735243
coal_pct,0.07027213745541593
other_renewables_pct,0.06178769802744017
nuclear_pct,0.060948986315953156
energy_hhi,0.0508781332400622
oil_pct,0.05020671724472062
renewables_total_pct,0.04548871990597981
wind_pct,0.038598320897937695
solar_pct,0.03716630921467943
solar_wind_pct,0.03415503437036668
dominant_source_pct,0.030952434428644413
low_carbon_pct,0.03076806996446549
year_norm,0.02714869849282346
fossil_clean_ratio,0.021143442093808796
fossil_total_pct,0.01983582080501708
