feature,coefficient,abs_coefficient
events_30d,0.15289095015511472,0.15289095015511472
max_severity_30d,-0.134828771073171,0.134828771073171
events_7d,-0.0607833884455527,0.0607833884455527
max_severity_7d,0.043791077678944586,0.043791077678944586
days_since_last_event,-0.02325786260637748,0.02325786260637748
policy_events_30d,0.011735927353154891,0.011735927353154891
event_shock_score,-0.008921141916299516,0.008921141916299516
weather_events_30d,0.001613094141926237,0.001613094141926237
disaster_events_30d,0.0,0.0
